Age,Sex,Proportion(%)
0 - 14,Male,0.3
15 - 19,Male,3.1
20 - 24,Male,7.0
25 - 29,Male,9.0
30 - 34,Male,9.7
35 - 39,Male,9.2
40 - 44,Male,9.4
45 - 49,Male,10.7
50 - 54,Male,9.1
55 - 59,Male,7.7
60 - 64,Male,6.4
65 - 69,Male,5.1
70 - 74,Male,4.5
75 - 79,Male,3.5
80 - 84,Male,2.4
85+,Male,2.9
0 - 14,Female,0.6
15 - 19,Female,6.2
20 - 24,Female,8.7
25 - 29,Female,9.4
30 - 34,Female,9.3
35 - 39,Female,9.2
40 - 44,Female,7.9
45 - 49,Female,9.1
50 - 54,Female,8.8
55 - 59,Female,6.9
60 - 64,Female,5.8
65 - 69,Female,3.8
70 - 74,Female,4.9
75 - 79,Female,2.9
80 - 84,Female,2.0
85+,Female,4.4